episode_id,overpass_utc,platform,sensor_type,collection,n_scenes,aoi_coverage,cloud_pct,hours_from_begin,hours_after_end,during_episode,window_label,scene_ids
159795_0,2021-06-30T17:11:39Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,42.5,22.69,19.69,False,post,S2B_15TXJ_20210630_0_L2A;S2B_15TXJ_20210630_1_L2A;S2B_15TXH_20210630_0_L2A;S2B_15TXH_20210630_1_L2A
160825_0,2021-07-13T16:53:32Z,Landsat,optical,landsat-c2-l2,1,1.0,33.5,-32.61,-38.17,False,pre,LC08_L2SP_026031_20210713_02_T1
160825_0,2021-07-13T17:22:05Z,Sentinel-2,optical,sentinel-2-l2a,2,0.6048,48.0,-32.13,-37.7,False,pre,S2B_15TVG_20210713_1_L2A;S2B_15TVG_20210713_0_L2A
160825_0,2021-07-15T17:12:10Z,Sentinel-2,optical,sentinel-2-l2a,2,1.0,66.2,15.7,10.14,False,post,S2A_15TVG_20210715_1_L2A;S2A_15TVG_20210715_0_L2A
160825_0,2021-07-17T00:13:59Z,Sentinel-1,radar,sentinel-1-grd,1,1.0,,46.73,41.17,False,post,S1A_IW_GRDH_1SDV_20210717T001347_20210717T001412_038810_049450
161012_0,2021-07-10T17:12:24Z,Sentinel-2,optical,sentinel-2-l2a,8,1.0,98.3,-23.29,-26.79,False,pre,S2B_15TXF_20210710_1_L2A;S2B_15TXF_20210710_0_L2A;S2B_15TWF_20210710_0_L2A;S2B_15TWF_20210710_1_L2A;S2B_15TXE_20210710_1_L2A;S2B_15TXE_20210710_0_L2A;S2B_15TWE_20210710_0_L2A;S2B_15TWE_20210710_1_L2A
161012_0,2021-07-12T00:05:32Z,Sentinel-1,radar,sentinel-1-grd,1,1.0,,7.59,4.09,False,post,S1A_IW_GRDH_1SDV_20210712T000520_20210712T000545_038737_049230
161012_0,2021-07-12T17:02:30Z,Sentinel-2,optical,sentinel-2-l2a,8,1.0,98.4,24.54,21.04,False,post,S2A_15TXF_20210712_1_L2A;S2A_15TXF_20210712_0_L2A;S2A_15TWF_20210712_1_L2A;S2A_15TWF_20210712_0_L2A;S2A_15TXE_20210712_1_L2A;S2A_15TXE_20210712_0_L2A;S2A_15TWE_20210712_1_L2A;S2A_15TWE_20210712_0_L2A
161012_0,2021-07-13T16:53:44Z,Landsat,optical,landsat-c2-l2,2,0.1099,25.4,48.4,44.9,False,post,LC08_L2SP_026031_20210713_02_T1;LC08_L2SP_026032_20210713_02_T1
161088_0,2021-08-27T17:21:43Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,66.9,-9.44,-13.64,False,pre,S2A_15TVJ_20210827_1_L2A;S2A_15TVJ_20210827_0_L2A;S2A_15TVH_20210827_1_L2A;S2A_15TVH_20210827_0_L2A
161088_0,2021-08-28T00:13:41Z,Sentinel-1,radar,sentinel-1-grd,1,0.379,,-2.57,-6.77,False,pre,S1B_IW_GRDH_1SDV_20210828T001327_20210828T001356_028439_0364B7
161088_0,2021-08-29T00:06:01Z,Sentinel-1,radar,sentinel-1-grd,1,0.0011,,21.3,17.1,False,post,S1A_IW_GRDH_1SDV_20210829T000547_20210829T000615_039437_04A8B3
161088_0,2021-08-29T15:58:19Z,Landsat,optical,landsat-c2-l2,1,1.0,76.0,37.17,32.97,False,post,LE07_L2SP_027030_20210829_02_T1
161088_0,2021-08-29T17:11:43Z,Sentinel-2,optical,sentinel-2-l2a,4,1.0,96.7,38.4,34.2,False,post,S2B_15TVJ_20210829_1_L2A;S2B_15TVJ_20210829_0_L2A;S2B_15TVH_20210829_1_L2A;S2B_15TVH_20210829_0_L2A
161208_0,2021-08-09T17:12:15Z,Sentinel-2,optical,sentinel-2-l2a,3,0.1647,33.6,-42.8,-44.46,False,pre,S2B_15TXF_20210809_2_L2A;S2B_15TXF_20210809_1_L2A;S2B_15TXF_20210809_0_L2A
