episode_id,imagery_grade,has_flood_imagery,has_baseline_imagery,n_overpasses,n_flood_window,n_during_episode,n_radar_flood,n_clear_optical_flood,platforms,best_overpass_utc,best_platform,best_window_label,best_coverage,best_cloud_pct,best_hours_from_begin,baseline_overpass_utc,baseline_platform,first_overpass_utc,last_overpass_utc
171800_0,cloudy,False,True,5,1,1,0,0,Landsat;Sentinel-2,2022-06-15T17:12:10Z,Sentinel-2,during,1.0,93.7,1.2,2022-06-14T16:53:48Z,Landsat,2022-06-13T16:59:13Z,2022-06-15T17:12:10Z
171951_0,cloudy,False,False,2,1,0,0,0,Sentinel-2,2022-07-05T17:11:50Z,Sentinel-2,pre,1.0,44.9,-9.27,,,2022-07-05T17:11:50Z,2022-07-07T17:02:02Z
172130_0,clear,True,True,5,4,1,0,1,Landsat;Sentinel-1;Sentinel-2,2022-07-17T17:02:01Z,Sentinel-2,post,1.0,29.7,49.37,2022-07-13T23:57:55Z,Sentinel-1,2022-07-13T23:57:55Z,2022-07-17T17:02:01Z
172468_0,clear,True,False,6,2,0,0,1,Landsat;Sentinel-2,2022-07-09T16:47:41Z,Landsat,post,1.0,4.2,23.29,,,2022-07-07T17:02:25Z,2022-07-10T17:12:21Z
172639_0,clear,True,False,11,4,4,0,2,Landsat;Sentinel-1;Sentinel-2,2022-07-13T17:22:00Z,Sentinel-2,during,1.0,4.6,125.37,,,2022-07-06T15:35:00Z,2022-07-17T00:22:25Z
172671_0,cloudy,False,False,4,1,0,0,0,Landsat;Sentinel-2,2022-07-06T15:35:12Z,Landsat,pre,1.0,73.5,-31.08,,,2022-07-06T15:35:12Z,2022-07-08T17:22:16Z
172782_0,clear,True,True,6,5,1,1,3,Landsat;Sentinel-1;Sentinel-2,2022-07-25T15:16:09Z,Landsat,post,1.0,7.0,23.89,2022-07-22T17:01:46Z,Sentinel-2,2022-07-22T17:01:46Z,2022-07-25T23:58:08Z
173446_0,cloudy,False,True,5,1,0,0,0,Landsat;Sentinel-1;Sentinel-2,2022-08-18T16:47:40Z,Landsat,pre,1.0,4.5,-33.29,2022-08-18T16:47:40Z,Landsat,2022-08-18T16:47:40Z,2022-08-21T17:02:12Z
173503_0,cloudy,False,False,2,0,0,0,0,Landsat;Sentinel-2,2022-08-19T17:12:27Z,Sentinel-2,pre,1.0,46.1,-4.29,,,2022-08-19T17:12:27Z,2022-08-21T15:25:50Z
174446_0,radar,True,False,5,3,0,1,0,Landsat;Sentinel-1;Sentinel-2,2022-09-05T00:05:42Z,Sentinel-1,post,1.0,,22.66,,,2022-09-03T16:47:53Z,2022-09-05T17:02:29Z
177752_0,clear,True,True,4,2,0,0,1,Landsat;Sentinel-2,2023-03-01T15:01:33Z,Landsat,post,1.0,7.0,52.53,2023-02-25T16:53:17Z,Landsat,2023-02-25T16:53:17Z,2023-03-01T15:01:33Z
178186_0,cloudy,False,True,5,1,1,0,0,Landsat;Sentinel-1;Sentinel-2,2023-02-25T17:11:44Z,Sentinel-2,pre,1.0,16.6,-46.3,2023-02-25T17:11:44Z,Sentinel-2,2023-02-25T16:53:17Z,2023-02-27T17:01:51Z
178844_0,clear,True,True,17,13,11,3,5,Landsat;Sentinel-1;Sentinel-2,2023-04-18T17:01:50Z,Sentinel-2,during,1.0,0.2,37.03,2023-04-15T23:57:56Z,Sentinel-1,2023-04-15T16:47:06Z,2023-05-03T00:06:05Z
178844_1,clear,True,True,13,10,7,2,1,Landsat;Sentinel-1;Sentinel-2,2023-04-26T14:50:00Z,Landsat,during,1.0,1.0,109.83,2023-04-21T14:45:58Z,Landsat,2023-04-21T00:06:16Z,2023-05-03T00:06:17Z
178928_0,cloudy,False,True,3,1,0,0,0,Sentinel-1;Sentinel-2,2023-03-20T17:21:50Z,Sentinel-2,pre,1.0,8.5,-33.64,2023-03-20T17:21:50Z,Sentinel-2,2023-03-20T17:21:50Z,2023-03-23T17:31:46Z
178929_0,cloudy,False,True,5,1,0,0,0,Landsat;Sentinel-2,2023-03-27T17:05:25Z,Landsat,pre,1.0,7.4,-34.91,2023-03-27T17:05:25Z,Landsat,2023-03-27T17:05:25Z,2023-03-30T17:21:46Z
178934_0,cloudy,False,True,4,0,0,0,0,Landsat;Sentinel-1;Sentinel-2,2023-04-14T17:22:17Z,Sentinel-2,pre,1.0,66.8,-7.38,2023-04-14T15:00:35Z,Landsat,2023-04-13T16:59:52Z,2023-04-14T17:22:17Z
179071_0,cloudy,False,False,3,3,0,0,0,Landsat;Sentinel-2,2023-05-14T17:21:57Z,Sentinel-2,post,1.0,100.0,15.37,,,2023-05-14T17:04:52Z,2023-05-15T16:59:13Z
179266_0,clear,True,False,14,11,8,2,4,Landsat;Sentinel-1;Sentinel-2,2023-04-12T17:05:21Z,Landsat,during,1.0,0.1,58.09,,,2023-04-09T17:21:55Z,2023-04-20T17:05:39Z
179277_0,clear,True,False,6,5,4,1,3,Landsat;Sentinel-1;Sentinel-2,2023-04-12T17:05:09Z,Landsat,during,1.0,0.2,37.09,,,2023-04-09T17:21:51Z,2023-04-14T17:21:53Z
179278_0,clear,True,True,9,5,7,0,1,Landsat;Sentinel-1;Sentinel-2,2023-04-02T15:09:44Z,Landsat,during,0.3163,7.0,13.16,2023-04-02T00:14:30Z,Sentinel-1,2023-04-02T00:14:30Z,2023-04-09T17:21:48Z
179281_0,radar,True,False,8,5,5,1,0,Landsat;Sentinel-1;Sentinel-2,2023-05-20T00:14:32Z,Sentinel-1,post,1.0,,137.24,,,2023-05-12T17:31:35Z,2023-05-20T00:14:32Z
179459_0,clear,True,False,5,3,0,1,2,Landsat;Sentinel-1;Sentinel-2,2023-05-31T16:59:05Z,Landsat,post,1.0,16.2,20.25,,,2023-05-29T17:22:02Z,2023-06-01T16:52:56Z
179763_0,clear,True,True,11,6,5,1,2,Landsat;Sentinel-1;Sentinel-2,2023-05-02T16:40:32Z,Landsat,post,0.8549,23.5,232.06,2023-04-21T14:46:10Z,Landsat,2023-04-21T14:46:10Z,2023-05-03T00:05:52Z
179763_1,clear,True,True,8,7,3,2,5,Landsat;Sentinel-1;Sentinel-2,2023-05-02T16:40:56Z,Landsat,post,0.6399,3.6,150.68,2023-04-24T16:41:17Z,Landsat,2023-04-24T16:41:17Z,2023-05-03T00:05:40Z
180146_0,cloudy,False,True,5,2,0,0,0,Landsat;Sentinel-1;Sentinel-2,2023-05-11T15:02:18Z,Landsat,pre,1.0,62.0,-37.46,2023-05-13T00:22:27Z,Sentinel-1,2023-05-11T15:02:18Z,2023-05-14T17:22:22Z
180664_0,clear,True,False,17,16,14,3,5,Landsat;Sentinel-1;Sentinel-2,2023-05-16T16:52:30Z,Landsat,post,0.4595,2.0,370.88,,,2023-04-30T16:52:43Z,2023-05-16T17:11:39Z
180705_0,clear,True,True,10,4,3,0,3,Landsat;Sentinel-1;Sentinel-2,2023-05-17T16:46:38Z,Landsat,post,0.3936,1.1,60.78,2023-05-15T00:06:18Z,Sentinel-1,2023-05-13T14:43:44Z,2023-05-18T17:01:53Z
180948_0,cloudy,False,True,4,3,0,0,0,Landsat;Sentinel-1;Sentinel-2,2023-05-14T17:04:52Z,Landsat,post,1.0,100.0,19.08,2023-05-13T00:22:27Z,Sentinel-1,2023-05-13T00:22:27Z,2023-05-15T16:59:13Z
181954_0,cloudy,False,True,5,1,0,0,0,Landsat;Sentinel-2,2023-07-10T16:59:18Z,Landsat,pre,1.0,0.2,-44.26,2023-07-10T16:59:18Z,Landsat,2023-07-10T16:59:18Z,2023-07-13T17:22:10Z
184498_0,clear,True,False,27,21,22,3,10,Landsat;Sentinel-1;Sentinel-2,2023-08-31T14:24:58Z,Landsat,post,0.3447,0.0,630.17,,,2023-08-04T17:12:27Z,2023-08-31T17:02:32Z
184558_0,clear,True,False,4,3,1,0,1,Landsat;Sentinel-1;Sentinel-2,2023-08-07T17:21:55Z,Sentinel-2,post,1.0,33.2,48.33,,,2023-08-05T00:22:32Z,2023-08-07T17:21:55Z
189673_0,radar,True,False,4,2,0,1,0,Landsat;Sentinel-1;Sentinel-2,2024-05-02T00:14:36Z,Sentinel-1,post,1.0,,23.24,,,2024-04-30T17:04:57Z,2024-05-02T00:14:36Z
190075_0,clear,True,False,1,1,0,0,1,Sentinel-2,2024-05-23T17:21:53Z,Sentinel-2,post,1.0,0.4,45.36,,,2024-05-23T17:21:53Z,2024-05-23T17:21:53Z
190511_0,cloudy,False,False,4,2,0,0,0,Landsat;Sentinel-1;Sentinel-2,2024-06-02T17:21:52Z,Sentinel-2,post,1.0,94.0,42.36,,,2024-05-31T00:22:31Z,2024-06-02T17:21:52Z
190777_0,clear,True,False,19,11,15,2,4,Landsat;Sentinel-1;Sentinel-2,2024-05-18T17:21:46Z,Sentinel-2,post,1.0,0.1,419.36,,,2024-04-29T17:11:23Z,2024-05-19T00:22:31Z
191512_0,clear,True,False,13,9,9,1,4,Landsat;Sentinel-1;Sentinel-2,2024-05-23T17:21:50Z,Sentinel-2,during,1.0,1.1,45.36,,,2024-05-21T17:31:40Z,2024-06-02T17:21:52Z
191512_1,clear,True,True,8,5,3,0,1,Landsat;Sentinel-1;Sentinel-2,2024-05-28T17:21:47Z,Sentinel-2,during,1.0,27.1,90.36,2024-05-23T17:21:50Z,Sentinel-2,2024-05-23T17:21:50Z,2024-06-02T17:21:52Z
191714_0,none,False,False,0,0,0,0,0,,,,,,,,,,,
191762_0,clear,True,True,6,1,1,0,1,Landsat;Sentinel-1;Sentinel-2,2024-05-23T17:21:53Z,Sentinel-2,post,0.4132,5.7,60.36,2024-05-20T17:12:04Z,Sentinel-2,2024-05-19T16:46:43Z,2024-05-24T17:05:13Z
191893_0,clear,True,False,13,7,10,0,2,Landsat;Sentinel-1;Sentinel-2,2024-06-09T17:04:55Z,Landsat,during,1.0,0.0,203.08,,,2024-05-31T00:22:31Z,2024-06-15T17:31:41Z
