BEGIN_YEARMONTH,BEGIN_DAY,END_YEARMONTH,END_DAY,EVENT_ID,STATE,EVENT_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
199605,23,199605,24,5544685,IOWA,Flood,POWESHIEK,0,0,0,0,,,,,,
199605,23,199605,24,5544686,IOWA,Flood,CASS,0,0,0,0,,,,,,
199605,8,199605,9,5569867,IOWA,Flash Flood,VAN BUREN,0,0,0,0,,,,,,
199605,9,199605,10,5569868,IOWA,Flash Flood,WASHINGTON,0,0,0,0,,,,,,
199605,9,199605,9,5544251,IOWA,Flood,MAHASKA,0,0,0,0,50K,,,,,
199605,9,199605,10,5544252,IOWA,Flood,POLK,0,0,0,0,.2M,,,,,
199605,9,199605,10,5557826,IOWA,Flood,WASHINGTON,0,0,0,0,,,,,,
199607,17,199607,19,5561987,IOWA,Flood,AUDUBON,0,0,0,0,,,,,,
199605,23,199605,24,5544703,IOWA,Flood,DAVIS,0,0,0,0,.25M,75K,,,,
199605,26,199605,31,5544704,IOWA,Flood,AUDUBON,0,0,0,0,,,,,,
199605,23,199605,24,5544702,IOWA,Flood,APPANOOSE,0,0,0,0,,,,,,
199605,26,199605,31,5544705,IOWA,Flood,GUTHRIE,0,0,0,0,,,,,,
199605,26,199605,31,5544706,IOWA,Flood,DALLAS,0,0,0,0,,,,,,
199605,9,199605,13,5544672,IOWA,Flood,MONROE,0,0,0,0,,,,,,
199605,9,199605,13,5544673,IOWA,Flood,WAPELLO,0,0,0,0,,,,,,
199605,9,199605,10,5557828,IOWA,Flood,DES MOINES,0,0,0,0,,,,,,
199605,23,199605,24,5544701,IOWA,Flood,WAYNE,0,0,0,0,,,,,,
199605,9,199605,13,5544668,IOWA,Flood,ADAMS,0,0,0,0,,,,,,
199606,17,199606,25,5553839,IOWA,Flood,BLACK HAWK,0,0,0,0,,,,,,
199606,17,199606,25,5553840,IOWA,Flood,CARROLL,0,0,0,0,,,,,,
199606,21,199606,21,5553668,IOWA,Flood,CALHOUN,0,0,0,0,30K,5K,,,,
199605,10,199605,11,5544262,IOWA,Flood,DALLAS,0,0,0,0,,,,,,
199605,10,199605,11,5544263,IOWA,Flood,POLK,0,0,0,0,,,,,,
199605,9,199605,13,5544675,IOWA,Flood,RINGGOLD,0,0,0,0,,,,,,
