id,foreign_id,lat,lng,description,river,town,active
1838,MADCRK01,41.451786,-91.038729,Mad Creek at HWY61/HWY22 (MADCRK01),Mad Creek,Muscatine,t
720,DRYCR01,42.06214,-91.801492,Dry Creek at Covington Rd at Palo (DRYCR01),Dry Creek,Palo,t
1034,CLRCRKS02,41.6865,-91.9113,Clear Creek Tributary at U Ave at Williamsburg (CLRCRKS02),Clear Creek Tributary,Williamsburg,t
765,WNISH05,41.791686,-95.199,West Nishnabotna River at Cora St at Irwin (WNISH05),West Nishnabotna River,Irwin,t
1038,PRICECR02,41.845468,-91.947936,Price Creek at S Ave At Amana Colonies (PRICECR02),Price Creek,Amana Colonies,t
1777,OTTRCRK03,42.950064,-91.753865,Otter Creek at West Union (OTTRCRK03),Otter Creek,West Union,t
11870,SKNKRV02,41.088511,-91.718473,Skunk River at Trenton (SKNKRV02),Skunk River,Trenton,t
11885,PBBLECR01,41.641739,-96.634369,Pebble Creek at Schribner (PBBLECR01),Pebble Creek,Schribner,f
749,TKYRV02,42.924405,-91.526782,Turkey River at Cable Ave at Elgin (TKYRV02),Turkey River,Elgin,t
1947,WOLFCRK01,42.311653,-92.905076,Wolf Creek at Conrad (WOLFCRK01),Wolf Creek,Conrad,f
11897,LOWERGAR01,43.340477,-95.131821,Lower Gar Lake at Milford (LOWERGAR01),Lower Gar Lake,Milford,f
756,WLLWCR-IC01,41.640307,-91.560788,Willow Creek at Iowa City (WLLWCR-IC01),Willow Creek,Iowa City,t
11859,BUCKCRK01,42.576191,-92.050308,Buck Creek at Littleton (BUCKCRK01),Buck Creek,Littleton,t
1810,IOWARV01,41.554742,-91.518943,Iowa River at Hills (IOWARV01),Iowa River,Hills,t
1037,FOURMLE03,41.769758,-93.589724,Fourmile Creek at 47th St NE at Ankeny (FOURMLE03),Fourmile Creek,Ankeny,t
1041,LTLTKY02,43.183643,-92.164472,Little Turkey River at 120th St at Saude (LTLTKY02),Little Turkey River,Saude,t
1825,MUDCRK01,41.599717,-93.411843,Mud Creek at HWY163 (NE 12th Ave.) (MUDCRK01),Mud Creek,Pleasant Hill,t
1759,MDDLRCCN02,41.875301,-94.669845,Middle Raccoon River at Coon Rapids (MDDLRCCN02),Middle Raccoon River,Coon Rapids,t
250101,CEDARRV2501,43.206805,-92.792791,Cedar River near Osage (CEDARRV2501),Cedar River,Osage,t
11857,FLOYDRV01,42.721409,-96.240204,Floyd River at Merrill (FLOYDRV01),Floyd River,Merrill,t
