id,foreign_id,lat,lng,description,river,town,active
597,05453100,41.812726,-92.064792,Iowa River at Marengo (MROI4-05453100),Iowa River,Marengo,t
688,GGYM7,40.279269,-91.495936,Mississippi River at Gregory Landing (GGYM7),Mississippi,Gregory Landing,t
1626,05460000,43.134682,-93.383817,Clear Lake at Clear Lake (05460000-CLKI4),Clear Lake,Clear Lake,t
708,06486000,42.485833,-96.413611,Missouri River at Sioux City (06486000-SSCN1),Missouri River,Sioux City,t
606,05462000,42.711925,-92.582966,Shell Rock River at Shell Rock (SHRI4-05462000),Shell Rock River,Shell Rock,t
593,05421740,42.083339,-91.267382,Wapsipinicon River near Anamosa (ANSI4-05421740),Wapsipinicon River,Anamosa,t
592,05421000,42.463598,-91.895172,Wapsipinicon River at Independence (IDPI4-05421000),Wapsipinicon River,Independence,t
535,05451700,42.008878,-92.852421,Timber Creek near Marshalltown (05451700),Timber Creek,Marshalltown,t
618,05471000,42.006653,-93.595495,South Skunk River below Ioway Creek near Ames (AESI4-05471000),South Skunk River blw Squaw Cr,Ames,t
623,05476500,43.397459,-94.844153,Des Moines River at Estherville (ESVI4-05476500),Des Moines River,Estherville,t
575,06602400,41.964432,-95.991955,Monona-Harrison Ditch near Turin (06602400),Monona-Harrison Ditch,Turin,t
556,05473400,40.925305,-91.67422,Cedar Creek near Oakland Mills (05473400),Cedar Creek,Oakland Mills,t
1986,05490600,40.4625,-91.566944,Des Moines River at St. Francisville (SFLM7-05490600),Des Moines River,St. Francisville,t
712,TOLI4,42.0,-92.58611,Deer Creek near Toledo (TOLI4),Deer Creek,Toledo,t
661,06608500,41.830544,-95.931399,Soldier River at Pisgah (PSGI4-06608500),Soldier River,Pisgah,t
625,05476750,42.719416,-94.220518,Des Moines River at Humboldt (HBTI4-05476750),Des Moines River,Humboldt,t
549,05458000,43.03328,-92.503544,Little Cedar River near Ionia (05458000),Little Cedar River,Ionia,t
651,06599950,42.619722,-96.372222,Perry Creek near Hinton (PCHI4-06599950),Perry Creek,Hinton,t
1943,06478513,42.99583,-97.369781,James River near Yankton (06478513),James River,Yankton,t
1641,CHKI4,42.744722,-95.549444,Little Sioux River at Cherokee (CHKI4),Little Sioux River,Cherokee,t
620,05471500,41.355699,-92.657359,South Skunk River near Oskaloosa (OOAI4-05471500),South Skunk River,Oskaloosa,t
674,06485500,42.836944,-96.562778,Big Sioux River at Akron (06485500-AKRI4),Big Sioux River,Akron,t
1963,05480930,42.7319,-93.7074,White Fox Creek at Clarion (05480930),White Fox Creek,Clarion,t
547,05457000,43.637222,-92.974444,"Cedar River near Austin, MN (05457000)",Cedar River,"Austin, MN",t
11846,mlsi4,43.459518,-95.230817,Little Sioux at 130th ST (LTLSIOUX05-MLSI4),Little Sioux,Montgomery,t
645,05489500,41.010848,-92.411296,Des Moines River at Ottumwa (OTMI4-05489500),Des Moines River,Ottumwa,t
534,05451210,42.314984,-93.152425,South Fork Iowa River NE at New Providence (05451210),South Fork Iowa River,New Providence,t
697,LNSI4,43.360278,-91.213333,Mississippi River at Lansing (LNSI4),Mississippi,Lansing,t
1960,05464730,41.963,-91.5771,Cedar River below Indian Creek at Cedar Rapids (05464730),Cedar River,Cedar Rapids,t
649,06483500,43.214426,-96.294471,Rock River near Rock Valley (RKVI4-06483500),Rock River,Rock Valley,t
706,06805600,41.015556,-95.868333,Missouri River at Plattsmouth (PTMN1),Missouri,Plattsmouth,t
636,05484500,41.533878,-93.94995,Raccoon River at Van Meter (VNMI4-05484500),Raccoon River,Van Meter,t
1928,06479215,45.180795,-97.18619,Big Sioux River near Florence (06479215),Big Sioux River,Summit,t
1927,06479449,44.917242,-97.187437,Lake Kampeska at Water Plant at Watertown (06479449),Lake Kampeska,Watertown,t
607,05463000,42.572759,-92.61797,Beaver Creek at New Hartford (NHRI4-05463000),Beaver Creek,New Hartford,t
599,05455500,41.469739,-91.714613,English River at Kalona (KALI4-05455500),English River,Kalona,t
705,PROI4,41.83528,-94.13167,North Raccoon River near Perry (PROI4),North Raccoon River,Perry,t
687,GENW3,43.569444,-91.229722,Mississippi River at Genoa (GENW3),Mississippi,Genoa,t
1959,05460100,43.1486,-93.2688,Willow Creek near Mason City (05460100),Willow Creek,Mason City,t
665,06809210,41.346101,-95.076936,East Nishnabotna River near Atlantic (ATCI4-06809210),East Nishnabotna River,Atlantic,t
1622,06810070,40.398889,-95.653333,Missouri River at Brownville (06810070-BRON1),Missouri River,Brownville,t
616,05470000,42.066513,-93.620134,South Skunk River near Ames (AMEI4-05470000),South Skunk River,Ames,t
533,05448400,43.1025,-93.784444,West Main Drainage Ditch 1 & 2 near Britt (05448400),West Main Drainage Ditch 1 & 2,Britt,t
609,05464000,42.495542,-92.334352,Cedar River at Waterloo (ALOI4-05464000),Cedar River,Waterloo,t
1636,LMRI4,42.800278,-96.173889,Floyd River at Le Mars (LMRI4),Floyd River,Le Mars,t
1638,CSRI4,42.071111,-93.673056,Ioway Creek at Ames Cameron School Rd at Ames (CSRI4),Ioway Creek,Ames,t
1623,06813500,40.053611,-95.421944,Missouri River at Rulo (06813500-RULN1),Missouri River,Rulo,t
11845,lpri4,43.419586,-95.269068,West Fork Little Sioux at 160th AVE (WFKLTSIOUX01-LPRI4),West Fork Little Sioux,Lake Park,t
631,05481950,41.688322,-93.7355,Beaver Creek near Grimes (GRMI4-05481950),Beaver Creek,Grimes,t
570,05485640,41.613878,-93.545493,Fourmile Creek at Des Moines (05485640),Fourmile Creek,Des Moines,t
690,GTTI4,42.785556,-91.095556,Mississippi River at Guttenberg (GTTI4),Mississippi,Guttenberg,t
1990,06903990,40.750556,-92.86,Cooper Creek at Centerville (06903990),Cooper Creek,Centerville,t
580,05452500,41.85556,-92.23889,Iowa River near Belle Plaine (05452500-BPLI4),Iowa River,Belle Plaine,t
538,05452200,41.834997,-92.386297,Walnut Creek near Hartwick (05452200),Walnut Creek,Hartwick,t
1956,05451955,42.0794,-92.3002,Stein Creek near Clutier (05451955),Stein Creek,Clutier ,t
586,05388250,43.421084,-91.508752,Upper Iowa River near Dorchester (DCHI4-05388250),Upper Iowa River,Dorchester,t
666,06809500,41.008604,-95.241658,East Nishnabotna River at Red Oak (RDOI4-06809500),East Nishnabotna River,Red Oak,t
660,06607500,41.964432,-95.972788,Little Sioux River near Turin (TURI4-06607500),Little Sioux River,Turin,t
1967,05489490,41.0145,-92.4624,Bear Creek at Ottumwa (05489490),Bear Creek,Ottumwa,t
582,NEPI4,41.5263,-91.9894,North Fork English River near Parnell (NEPI4),North Fork English River,Parnell,t
657,06605850,42.895811,-95.24333,Little Sioux River at Linn Grove (LNNI4-06605850),Little Sioux River,Linn Grove,t
653,06600100,42.981931,-96.001129,Floyd River at Alton (ALTI4-06600100),Floyd River,Alton,t
644,05489000,41.219002,-92.908533,Cedar Creek near Bussey (BSSI4-05489000),Cedar Creek,Bussey,t
694,KHBI2,41.10611,-90.95944,Mississippi River at Keithsburg (KHBI2),Mississippi,Keithsburg,t
693,ILNI2,41.425539,-91.01278,Mississippi River at Illinois City (ILNI2),Mississippi,Illinois City,t
658,06606600,42.482278,-95.792889,Little Sioux River at Correctionville (CRRI4-06606600),Little Sioux River,Correctionville,t
704,06807000,40.681667,-95.846944,Missouri River at Nebraska City (NEBN1),Missouri,Nebraska City,t
680,05420500,41.780586,-90.252073,Mississippi River at Camanche (05420500-CMMI4),Mississippi,Camanche,t
1640,ATNI4,41.656389,-93.546944,Fourmile Creek at Altoona (ATNI4),Fourmile Creek,Altoona,f
1934,06481480,43.848196,-96.836831,Skunk Creek near Chester (06481480),Skunk Creek,Dell Rapids,t
663,06807410,41.389992,-95.371667,West Nishnabotna River at Hancock (HNKI4-06807410),West Nishnabotna River,Hancock,t
522,05389400,43.040817,-91.206519,Bloody Run Creek near Marquette (05389400),Bloody Run Creek,Marquette,t
1765,05464695,42.030944,-91.611861,Indian Creek at Marion (05464695-MRNI4),Indian Creek,Marion,t
643,05488500,41.281391,-92.861504,Des Moines River near Tracy (TRCI4-05488500),Des Moines River,Tracy,t
1945,06478000,43.658872,-97.91924,James River near Mitchell (06478000),James River,Mitchell,t
1634,MRLI4,42.720833,-96.240833,Floyd River at Merrill (MRLI4),Floyd River,Merrill,t
1606,05411500,42.903611,-91.145,Mississippi River at Clayton (05411500-CLAI4),Mississippi River,Clayton,t
608,05463050,42.537583,-92.443306,Cedar River at Cedar Falls (CEDI4-05463050),Cedar River,Cedar Falls,t
544,05454300,41.676682,-91.598781,Clear Creek near Coralville (05454300),Clear Creek,Coralville,t
1988,05464480,42.011978,-91.707152,Cedar River at Edgewood Road at Cedar Rapids (05464480),Cedar River,Cedar Rapids,t
1639,ESQI4,42.166389,-93.753056,Ioway Creek at Hwy E18 at Ames (ESQI4),Ioway Creek,Ames,t
702,MUSI4,41.41667,-91.03333,Mississippi River at Muscatine (MUSI4),Mississippi,Muscatine,t
1637,CLVI4,41.611389,-93.776389,Walnut Creek at Clive (CLVI4),Walnut Creek,Clive,t
525,05412400,42.753875,-91.369025,Volga River at Littleport (05412400),Volga River,Littleport,t
622,05474000,40.75365,-91.277094,Skunk River at Augusta (AGSI4-05474000),Skunk River,Augusta,t
542,05454090,41.7,-91.562778,Muddy Creek at Coralville (05454090),Muddy Creek,Coralville,t
600,05455700,41.423139,-91.475278,Iowa River Near Lone Tree (Tri-County Bridge) (LNTI4-05455700),Iowa River,Lone Tree,t
1965,05483318,41.9458,-94.8794,Brushy Fork Creek near Templeton (05483318-TPTI4),Brushy Fork Creek,Templeton,t
1645,05450400,42.408111,-93.072972,Iowa River at Steamboat Rock (STBI4),Iowa River,Steamboat Rock,t
686,05420400,41.894472,-90.156793,Mississippi River at Fulton (FLTI2),Mississippi,Fulton,t
621,05472500,41.300845,-92.204626,North Skunk River near Sigourney (SIGI4-05472500),North Skunk River,Sigourney,t
