Join_Count,TARGET_FID,id,foreign_id,foreign_id1,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,usgs_site_no_revised
1,31,679,05465100,cjti4,41.278336,-91.345728,Iowa River at Columbus Junction (05465100-CJTI4),Iowa River,Columbus Junction,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,5465100
0,32,695,LACW3,lacw3,43.801667,-91.258889,Mississippi River at La Crosse (LACW3),Mississippi,La Crosse,t,,,,,,,,,,,,,,5385000
1,33,2322,05464475,,41.989416,-91.759598,Morgan Creek near Covington (05464475),Morgan Creek,Covington,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0.0,1546778.49,6259.6,IA,7080205.0,Middle Cedar,5.82086975405,5464475
1,34,545,05455010,iaci4,41.651406,-91.507668,South Branch Ralston Creek at Iowa City (05455010),South Branch Ralston Creek,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,5455010
1,35,611,05464420,ploi4,42.069163,-91.78518,Cedar River at Blairs Ferry Rd at Palo (PLOI4-05464420),Cedar River,Palo,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0.0,1546778.49,6259.6,IA,7080205.0,Middle Cedar,5.82086975405,5464420
1,36,565,05483450,bayi4,41.778597,-94.492749,Middle Raccoon River near Bayard (05483450),Middle Raccoon River,Bayard,t,{FFBAED06-1CB1-450D-AB03-D3562BAB3878}, , , , ,6/11/2012 0:00:00,0.0,727597.2199999999,2944.48,IA,7100007.0,South Raccoon,3.92060414651,5483450
1,37,1635,PELI4,PELI4,41.3692,-92.980622,Des Moines River at Red Rock Reservoir (PELI4),Des Moines River,Red Rock Reservoir,t,{BD63BFB7-471A-41B1-8B65-1FCFFD956A3C}, , , , ,6/11/2012 0:00:00,0.0,1370685.19,5546.97,"IA,MO",7100009.0,Lower Des Moines,5.89631193612,5488110
1,38,707,RCKI2,rcki2,41.51778,-90.56194,Mississippi River at Rock Island (RCKI2),Mississippi,Rock Island,t,{C5D4BA12-6399-4A40-A170-2F26C7D2C6B1}, , , , ,6/11/2012 0:00:00,0.0,634693.16,2568.51,"IA,IL",7080101.0,Copperas-Duck,5.58462516616,5420500
0,39,1942,06479010,vers2,42.817219,-96.924211,Vermillion River near Vermillion (06479010),Vermillion River,Vermillion,t,,,,,,,,,,,,,,6479010
0,40,559,05476000,jckm5,43.618333,-94.984722,"Des Moines River at Jackson, MN (JCKM5-05476000)",Des Moines River,"Jackson, MN",t,,,,,,,,,,,,,,5476000
1,41,682,06601200,dctn1,42.007222,-96.241389,Missouri River at Decatur (DCTN1),Missouri,Decatur,t,{5B6423E1-71A2-4772-946C-68C787D9B1CF}, , , , ,6/11/2012 0:00:00,0.0,1029616.15,4166.71,"IA,NE,SD",10230001.0,Blackbird-Soldier,7.31301692529,6601200
1,42,1971,06605750,cwci4,42.9725,-95.1611,Willow Creek near Cornell (06605750),Willow Creek,Cornell,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0.0,1812413.43,7334.58,"IA,MN",10230003.0,Little Sioux,8.94025563372,6605750
1,43,1630,05483470,pnli4,41.695556,-94.381667,Lake Panorama at Panora (05483470-PNLI4),Lake Panorama,Panora,t,{FFBAED06-1CB1-450D-AB03-D3562BAB3878}, , , , ,6/11/2012 0:00:00,0.0,727597.2199999999,2944.48,IA,7100007.0,South Raccoon,3.92060414651,5483470
1,44,572,05487980,dlli4,41.246639,-93.290167,White Breast Creek near Dallas (05487980),White Breast Creek,Dallas,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00:00,0.0,1563257.96,6326.29,IA,7100008.0,Lake Red Rock,6.18966542928,5487980
1,45,566,05483600,pani4,41.687209,-94.371077,Middle Raccoon River at Panora (05483600),Middle Raccoon River,Panora,t,{FFBAED06-1CB1-450D-AB03-D3562BAB3878}, , , , ,6/11/2012 0:00:00,0.0,727597.2199999999,2944.48,IA,7100007.0,South Raccoon,3.92060414651,5483600
1,46,654,06600500,jmei4,42.57666,-96.311416,Floyd River at James (JMEI4-06600500),Floyd River,James,t,{0E741BD6-D424-4C09-B0FD-E17D9C27E19D}, , , , ,10/6/2016 0:00:00,0.0,586327.51,2372.79,IA,10230002.0,Floyd,3.75376918356,6600500
