Join_Count,TARGET_FID,id,foreign_id,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng
1,47,683,DLDI4,42.538609999999998,-90.646389999999997,Mississippi River at Dubuque (DLDI4),Mississippi,Dubuque,t,{D09DB136-C0FD-4F58-8B45-0382680A89B4}, , , , ,6/11/2012 0:00:00,0,951301.750000000000000,3849.789999999999964,"IA,IL,WI",07060005,Apple-Plum,4.724932310700000
1,48,696,LECI4,41.574440000000003,-90.403059999999996,Mississippi River at LeClaire (LECI4),Mississippi,LeClaire,t,{C5D4BA12-6399-4A40-A170-2F26C7D2C6B1}, , , , ,6/11/2012 0:00:00,0,634693.160000000032596,2568.510000000000218,"IA,IL",07080101,Copperas-Duck,5.584625166160000
1,49,563,05481650,41.680543999999998,-93.668276000000006,Des Moines River near Saylorville (05481650),Des Moines River,Saylorville,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0,1104287.570000000065193,4468.899999999999636,IA,07100004,Middle Des Moines,7.053594672690000
1,50,567,05484600,41.531711999999999,-93.781972999999994,Raccoon River near West Des Moines (05484600),Raccoon River,West Des Moines,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00:00,0,1581359.739999999990687,6399.539999999999964,IA,07100006,North Raccoon,7.633529864860000
1,51,685,EOKI4,40.397500000000001,-91.374167000000000,Mississippi River at Keokuk (EOKI4),Mississippi,Keokuk,t,{83925D5C-3127-4C58-BFB6-A623B748AAE9}, , , , ,6/11/2012 0:00:00,0,1546231.989999999990687,6257.380000000000109,"IA,IL,MO",07080104,Flint-Henderson,6.488316130380000
1,52,652,06600000,42.534883000000001,-96.410724000000002,Perry Creek at 38th St at Sioux City (SIOI4-06600000),Perry Creek,Sioux City,t,{5B6423E1-71A2-4772-946C-68C787D9B1CF}, , , , ,6/11/2012 0:00:00,0,1029616.150000000023283,4166.710000000000036,"IA,NE,SD",10230001,Blackbird-Soldier,7.313016925290000
1,53,1955,05420850,42.714700000000001,-92.041600000000003,Little Wapsipinicon River near Oran (05420850),Little Wapsipinicon River,Oran,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00:00,0,1003377.819999999948777,4060.530000000000200,"IA,MN",07080102,Upper Wapsipinicon,5.638303150900000
1,54,1614,06604000,43.469721999999997,-95.123610999999997,Spirit Lake near Orleans (06604000-SLKI4),Spirit Lake,Orleans,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0,1812413.429999999934807,7334.579999999999927,"IA,MN",10230003,Little Sioux,8.940255633720000
1,55,598,05454500,41.656683000000001,-91.541002000000006,Iowa River at Iowa City (IOWI4-05454500),Iowa River,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
1,56,1633,MIFI4,43.327778000000002,-95.201667000000000,Little Sioux River at Milford (MIFI4),Little Sioux River,Milford,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0,1812413.429999999934807,7334.579999999999927,"IA,MN",10230003,Little Sioux,8.940255633720000
